[2025-12-15 19:10:06] [INFO    ] discord.client: logging in using static token
[2025-12-15 19:10:07] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-12-15 19:10:07] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-12-15 19:10:07] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1450152550945783933', 'username': 'hypixel_players', 'avatar': None, 'discriminator': '3494', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-12-15 19:10:07] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-12-15 19:10:07] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-12-15 19:10:07] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1450152550945783933', 'name': 'hypixel_players', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1450152550945783933', 'username': 'hypixel_players', 'avatar': None, 'discriminator': '3494', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '8e9dea360cc2e6c2f3a7a357405511dc7aed9a41713dece37720cea97589778a', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '875411891692896298', 'username': 'cns_master', 'avatar': '0cd8ad0fb77b4b468b24f973c35effc7', 'discriminator': '0', 'public_flags': 128, 'flags': 128, 'banner': None, 'accent_color': 0, 'global_name': 'iTzZeuss_', 'avatar_decoration_data': {'asset': 'a_3c8525a96d0272550c2f95bc8b594da5', 'sku_id': '1440174638930853957', 'expires_at': 1768507200}, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#000000', 'clan': {'identity_guild_id': '172018499005317120', 'identity_enabled': True, 'tag': 'TCD', 'badge': '0dfc069d82fa2eda33149bbf84127e28'}, 'primary_guild': {'identity_guild_id': '172018499005317120', 'identity_enabled': True, 'tag': 'TCD', 'badge': '0dfc069d82fa2eda33149bbf84127e28'}}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-12-15 19:10:07] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-12-15 19:10:07] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-d-2q0g",{"micros":0.0}]']}}
[2025-12-15 19:10:07] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-12-15 19:10:08] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
